City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Souillac,-20.52,57.52,71.6,73,40,11.41,MU,1592332846
Megion,61.03,76.11,62.6,72,40,11.18,RU,1592332846
Cayenne,4.93,-52.33,78.8,88,100,1.12,GF,1592332847
Mahon,39.89,4.27,71.6,73,40,5.82,ES,1592332835
Bar,49.08,27.68,63.79,89,54,6.44,UA,1592332847
Manado,1.49,124.85,75.2,94,20,2.46,ID,1592332847
Faanui,-16.48,-151.75,79.7,81,82,11.5,PF,1592332847
Kota,25.18,75.83,92.98,40,92,17.56,IN,1592332847
Jasper,37.2,-94.35,87.8,48,75,4.14,US,1592332848
Mezen',65.85,44.24,39.74,73,2,6.87,RU,1592332848
Reconquista,-29.15,-59.65,78.55,62,100,13.33,AR,1592332848
Sainte-Rose,16.33,-61.7,87.8,55,75,18.34,GP,1592332849
Labytnangi,66.66,66.42,41.0,69,100,9.15,RU,1592332849
Mari-Turek,56.79,49.62,60.62,93,0,7.65,RU,1592332850
Bengkulu,-3.8,102.27,77.23,88,98,6.17,ID,1592332850
Inhambane,-23.86,35.38,66.2,72,20,3.36,MZ,1592332850
Murray,40.67,-111.89,66.99,55,1,11.41,US,1592332850
Lalibela,12.03,39.03,66.87,41,12,6.85,ET,1592332851
Cabedelo,-6.98,-34.83,80.6,78,75,11.41,BR,1592332851
Însurăţei,44.92,27.6,69.8,68,75,6.93,RO,1592332851
Dawei,14.08,98.2,78.71,88,100,4.29,MM,1592332852
Kattivākkam,13.22,80.32,87.01,79,40,5.82,IN,1592332852
Tétouan,35.57,-5.37,77.0,50,12,20.8,MA,1592332852
Nālūt,30.33,10.85,79.09,17,0,2.73,LY,1592332852
Inta,66.03,60.17,43.84,65,93,9.37,RU,1592332852
Forécariah,9.43,-13.09,87.8,66,20,11.41,GN,1592332852
Garoowe,8.41,48.48,85.69,42,35,17.45,SO,1592332853
Wakkanai,45.41,141.67,51.91,95,100,15.57,JP,1592332853
Mount,53.66,-1.85,70.0,79,93,1.01,GB,1592332853
Khovd,48.01,91.64,64.78,44,1,0.65,MN,1592332854
Boyabat,41.47,34.77,67.95,67,0,0.87,TR,1592332854
Kharitonovo,61.4,47.5,54.16,77,100,10.6,RU,1592332854
Örnsköldsvik,63.29,18.72,62.6,39,0,5.82,SE,1592332855
Balikpapan,-1.27,116.83,77.23,91,46,4.59,ID,1592332855
Sandovo,58.46,36.41,65.68,91,13,1.99,RU,1592332856
Vao,-22.67,167.48,72.86,82,92,18.68,NC,1592332856
Jiwani,25.05,61.74,85.21,86,2,12.19,PK,1592332856
Beloha,-25.17,45.05,63.86,81,12,12.75,MG,1592332632
Harūr,12.07,78.5,79.3,65,100,6.53,IN,1592332857
Sungai Penuh,-2.08,101.38,65.28,94,99,1.34,ID,1592332857
Buarcos,40.17,-8.88,66.99,73,0,3.0,PT,1592332857
Trelew,-43.25,-65.31,60.71,32,0,17.85,AR,1592332762
Conde,-7.26,-34.91,80.6,78,75,11.41,BR,1592332755
Asău,46.43,26.4,66.2,93,40,2.24,RO,1592332858
Mount Abu,24.6,72.7,80.89,61,50,13.4,IN,1592332804
Sulangan,11.14,123.72,82.74,72,4,5.5,PH,1592332859
Port,-7.03,29.76,71.26,51,0,7.87,CD,1592332656
Ayan,56.45,138.17,42.53,91,100,8.86,RU,1592332919
Wonthaggi,-38.6,145.59,52.0,72,26,4.09,AU,1592332919
Royan,45.63,-1.03,62.6,82,50,10.29,FR,1592332761
Pravda,46.94,142.01,44.6,93,75,13.42,RU,1592332920
Diourbel,14.66,-16.39,91.63,39,0,15.97,SN,1592332920
Kangaatsiaq,68.31,-53.46,35.69,86,99,9.64,GL,1592332920
Agadez,19.75,10.25,94.03,11,0,11.25,NE,1592332920
Kaka,37.35,59.61,92.26,13,97,5.03,TM,1592332920
Manta,-0.95,-80.73,86.0,62,20,10.29,EC,1592332921
Okhotsk,59.38,143.3,48.27,78,0,3.4,RU,1592332921
Juneau,58.3,-134.42,53.01,93,90,4.7,US,1592332921
Qinhuangdao,39.93,119.59,71.35,51,100,10.89,CN,1592332921
Jasdan,22.03,71.2,88.0,10,100,14.41,IN,1592332921
Sailāna,23.47,74.92,85.19,59,100,15.55,IN,1592332922
Rivadavia,-33.19,-68.46,60.8,34,0,9.17,AR,1592332922
Comodoro,-13.66,-59.79,83.55,48,3,3.74,BR,1592332922
Bandarbeyla,9.49,50.81,85.33,57,26,26.96,SO,1592332922
Nioki,-2.72,17.68,76.71,51,57,2.8,CD,1592332922
Harper,4.38,-7.72,78.49,85,98,10.16,LR,1592332922
Phan,19.55,99.74,75.2,100,40,1.12,TH,1592332923
Shaunavon,49.65,-108.42,56.91,72,100,8.08,CA,1592332923
Omsukchan,62.53,155.8,59.32,57,100,5.53,RU,1592332923
Bosaso,11.28,49.18,93.87,42,100,11.21,SO,1592332651
Maputo,-25.97,32.59,62.76,80,93,11.97,MZ,1592332924
Northam,51.03,-4.22,62.01,87,89,7.0,GB,1592332924
Nizhniy,45.39,39.24,78.8,61,49,6.71,RU,1592332924
Ponnāni,10.77,75.93,75.2,88,75,2.24,IN,1592332924
Jambi City,-1.6,103.62,74.23,96,25,1.99,ID,1592332924
Yulara,-25.24,130.99,39.2,44,0,5.82,AU,1592332924
Ankazobe,-18.32,47.12,57.2,87,75,9.17,MG,1592332925
Kathu,7.92,98.33,77.0,100,20,4.45,TH,1592332925
Tazmalt,36.39,4.4,75.2,50,75,4.7,DZ,1592332925
Pedro,-18.99,-47.14,73.4,53,40,13.87,BR,1592332925
Kapoeta,4.77,33.59,80.51,56,67,4.34,SS,1592332925
Bukachacha,52.98,116.92,52.61,90,2,3.38,RU,1592332927
Caniço,32.63,-16.85,69.8,94,75,5.82,PT,1592332804
Nizhniy,45.39,39.24,78.8,61,49,6.71,RU,1592332927
Kamaishi,39.27,141.88,57.96,80,0,8.88,JP,1592332927
Ambilobe,-13.2,49.05,68.74,76,12,5.66,MG,1592332927
Bogotol,56.21,89.53,42.93,88,0,3.0,RU,1592332927
Sinnamary,5.38,-52.95,81.84,80,97,10.38,GF,1592332928
Zhaotong,27.32,103.72,65.75,88,100,2.39,CN,1592332928
Port,-7.03,29.76,71.26,51,0,7.87,CD,1592332928
Sompeta,18.93,84.6,83.91,81,100,11.21,IN,1592332928
Jiblah,13.92,44.15,72.72,57,100,2.51,YE,1592332928
Vanimo,-2.67,141.3,78.04,83,39,2.73,PG,1592332681
Parrita,9.52,-84.32,78.8,65,40,10.29,CR,1592332929
Coahuayana Viejo,18.73,-103.68,86.0,58,40,9.17,MX,1592332929
Porto,41.15,-8.61,66.99,68,20,6.93,PT,1592332772
Dubova,44.62,22.27,64.99,91,57,4.94,RO,1592332929
Natal,-5.79,-35.21,77.0,94,75,8.05,BR,1592332989
Tezu,27.92,96.17,76.44,86,98,0.4,IN,1592332990
Aquiraz,-3.9,-38.39,86.0,66,75,14.99,BR,1592332990
Nishihara,26.18,127.76,82.4,88,40,12.75,JP,1592332990
Florián,5.8,-73.97,73.42,83,42,1.7,CO,1592332990
Caluquembe,-13.78,14.68,56.53,39,0,3.6,AO,1592332990
Pimentel,-6.84,-79.93,75.2,57,4,12.75,PE,1592332990
Qiongshan,20.01,110.35,80.6,88,1,8.95,CN,1592332991
Filingué,14.35,3.32,105.98,14,81,4.14,NE,1592332991
Marsa,35.88,14.5,71.6,60,16,20.8,MT,1592332991
Vanavara,60.34,102.28,43.65,90,49,2.73,RU,1592332991
Jalu,29.03,21.55,78.24,36,0,19.15,LY,1592332992
Havelock,34.88,-76.9,75.0,83,75,18.34,US,1592332992
Valparaíso,-33.04,-71.63,57.2,81,90,11.41,CL,1592332992
Muhos,64.81,25.99,66.2,48,0,10.29,FI,1592332992
Petauke,-14.24,31.33,57.83,63,0,9.95,ZM,1592332992
Mitsamiouli,-11.38,43.28,78.08,71,95,8.41,KM,1592332992
Grindavik,63.84,-22.43,48.2,70,75,10.29,IS,1592332993
Haapiti,-17.57,-149.87,82.0,78,40,12.75,PF,1592332993
Poum,-20.23,164.02,73.47,75,0,12.37,NC,1592332993
Sechura,-5.56,-80.82,79.97,47,0,10.94,PE,1592332993
Izumo,35.37,132.77,64.4,93,75,3.36,JP,1592332993
Epe,6.58,3.98,78.85,89,100,7.27,NG,1592332994
Kinston,35.26,-77.58,66.2,93,90,9.17,US,1592332994
Ingham,42.6,-84.38,79.0,50,1,1.74,US,1592332994
Eqbālīyeh,35.3,51.54,87.01,18,0,9.17,IR,1592332994
Rodrigues,-19.7,63.42,72.01,83,2,19.26,MU,1592332995
Fort,52.65,6.39,71.01,78,56,5.01,NL,1592332809
Sirte,31.21,16.59,71.4,79,0,10.22,LY,1592332995
Nyaunglebin,17.95,96.73,76.57,94,100,4.18,MM,1592332996
Concepción,-36.83,-73.05,55.4,100,90,18.34,CL,1592332802
Umeå,63.83,20.26,62.6,39,0,10.29,SE,1592332913
Shitanjing,39.23,106.34,61.0,68,100,4.32,CN,1592332996
Mocuba,-16.84,36.99,59.67,93,0,4.43,MZ,1592332996
Bonoua,5.27,-3.6,82.4,83,20,11.41,CI,1592332997
Srandakan,-7.94,110.25,77.07,89,58,6.69,ID,1592332997
Talakan,50.32,130.37,51.24,92,100,6.38,RU,1592332997
Salinas,36.68,-121.66,66.2,55,1,16.11,US,1592332997
Campbellsville,37.34,-85.34,75.2,49,40,8.05,US,1592332997
Plettenberg,51.22,7.88,64.0,86,70,2.89,DE,1592332998
Kishtwār,33.32,75.77,64.81,43,1,3.91,IN,1592332998
Nastola,60.95,25.93,71.01,77,8,3.36,FI,1592332998
Guilin,25.28,110.29,78.8,83,75,6.71,CN,1592332998
Verkhoyansk,67.54,133.38,65.08,53,100,6.51,RU,1592332998
Palmer,42.16,-72.33,80.01,29,20,8.05,US,1592332999
Ratnagiri,16.98,73.3,78.84,91,100,6.58,IN,1592332863
